dataset,filename,size_bytes,size_kb,size_mb,readable,rows,columns,duplicate_rows,has_seqn,duplicate_seqn,error
NHANES_2021_2023,ALQ_L.xpt,458320,447.58,0.437,True,6337,9.0,0,True,0,
NHANES_2021_2023,BIOPRO_L.xpt,2425520,2368.67,2.313,True,7199,42.0,0,True,0,
NHANES_2021_2023,BMX_L.xpt,1563200,1526.56,1.491,True,8860,22.0,0,True,0,
NHANES_2021_2023,BPQ_L.xpt,409680,400.08,0.391,True,8501,6.0,0,True,0,
NHANES_2021_2023,BPXO_L.xpt,696720,680.39,0.664,True,7801,12.0,0,True,0,
NHANES_2021_2023,CBC_L.xpt,1609840,1572.11,1.535,True,8727,23.0,0,True,0,
NHANES_2021_2023,DEMO_L.xpt,2582160,2521.64,2.463,True,11933,27.0,0,True,0,
NHANES_2021_2023,DIQ_L.xpt,847600,827.73,0.808,True,11744,9.0,0,True,0,
NHANES_2021_2023,GHB_L.xpt,174000,169.92,0.166,True,7199,3.0,0,True,0,
NHANES_2021_2023,GLU_L.xpt,129200,126.17,0.123,True,3996,4.0,0,True,0,
NHANES_2021_2023,HDL_L.xpt,259520,253.44,0.247,True,8068,4.0,0,True,0,
NHANES_2021_2023,MCQ_L.xpt,3294000,3216.8,3.141,True,11744,35.0,0,True,0,
NHANES_2021_2023,PAQ_L.xpt,409520,399.92,0.391,True,8153,8.0,0,True,0,
NHANES_2021_2023,SMQ_L.xpt,651120,635.86,0.621,True,9015,9.0,0,True,0,
NHANES_2021_2023,TCHOL_L.xpt,259520,253.44,0.247,True,8068,4.0,0,True,0,
NHANES_2021_2023,TRIGLY_L.xpt,321840,314.3,0.307,True,3996,10.0,0,True,0,
ICMR_INDIAB,meta.pdf,471251,460.21,0.449,True,2,,0,False,0,
ICMR_INDIAB,sample.dta,51795,50.58,0.049,True,500,41.0,0,False,0,
