variable,label,meta_type,dtype,null_count,null_pct,unique_values,min,max,mean,median,coding_details,sample_value_distribution
v1,Participant identification number,Numeric,int16,0,0.0,500,1.0,500.0,250.5,250.5,De-identified unique ID,"{'1': 1, '2': 1, '3': 1, '4': 1, '5': 1}"
v2,Place of residence,Nominal,int8,0,0.0,1,2.0,2.0,2.0,2.0,"1=Urban, 2=Rural",{'2': 500}
v3,State Code,Nominal,int8,0,0.0,1,2.0,2.0,2.0,2.0,"State codes (2=HP, 3=Punjab, ..., 29=Karnataka, 33=TN, 99=Telangana, etc.)",{'2': 500}
v4,Age of the participant,Numeric,int8,0,0.0,63,20.0,95.0,46.97,45.0,Age in years (>=20),"{'60': 24, '45': 22, '50': 18, '38': 17, '47': 15}"
v5,Sex,Nominal,int8,0,0.0,2,1.0,2.0,1.5,1.0,"1=Male, 2=Female","{'1': 252, '2': 248}"
v6,Education,Nominal,int8,0,0.0,3,1.0,3.0,2.01,2.0,"1=No formal schooling, 2=Primary/High school, 3=Technical/Grad/Postgrad","{'2': 373, '3': 67, '1': 60}"
v7,Occupation,Nominal,int8,0,0.0,5,1.0,5.0,4.0,5.0,"1=Prof/Exec/Big business/Clerical, 2=Sales/Services/Skilled, 3=Agri/Self-employed, 4=Unskilled, 5=Unemployed/Homemaker","{'5': 312, '2': 87, '3': 44, '1': 32, '4': 25}"
v8,Body mass index,Numeric,float32,2,0.4,433,13.33,43.82,23.82,23.49,BMI in kg/m2,"{'24.690000534057617': 3, '26.360000610351562': 3, '24.469999313354492': 3, '27.040000915527344': 3, '24.09000015258789': 3}"
v9,Waist circumference,Numeric,float32,3,0.6,262,58.1,196.0,86.68,87.0,Waist circumference in cm,"{'92.0': 12, '88.0': 11, '80.0': 10, '82.0': 10, '90.0': 10}"
v10,Systolic blood pressure,Numeric,float64,2,0.4,93,89.0,225.0,133.04,129.0,Systolic BP in mmHg,"{'137.0': 20, '125.0': 19, '127.0': 17, '130.0': 17, '122.0': 17}"
v11,Diastolic blood pressure,Numeric,float64,2,0.4,60,52.0,131.0,84.35,83.0,Diastolic BP in mmHg,"{'81.0': 39, '83.0': 38, '82.0': 29, '86.0': 23, '87.0': 22}"
v12,Migration,Nominal,float64,7,1.4,2,2.0,22.0,2.93,2.0,"1=Urban, 11=Rural to Urban, 2=Rural, 22=Urban to Rural","{'2.0': 470, '22.0': 23, 'nan': 7}"
v13,SLI: House,Nominal,int8,0,0.0,3,0.0,4.0,3.76,4.0,"1=Pucca, 2=Semi pucca, 0=Kutcha","{'4': 449, '2': 43, '0': 8}"
v14,SLI: Toilet facility,Nominal,int8,0,0.0,4,0.0,4.0,3.87,4.0,"4=Own flush, 2=Shared flush/own pit, 1=Shared pit, 0=No facility","{'4': 472, '2': 21, '1': 4, '0': 3}"
v15,SLI: Source of lighting,Nominal,int8,0,0.0,3,0.0,2.0,1.99,2.0,"2=Electricity, 1=Kerosene/gas/oil, 0=Others","{'2': 496, '1': 3, '0': 1}"
v16,SLI: Main fuel for cooking,Nominal,int8,0,0.0,2,1.0,2.0,1.71,2.0,"2=LPG/Electricity, 1=Kerosene/coal/charcoal, 0=Wood/crop residue/dung","{'2': 353, '1': 147}"
v17,SLI: Source of drinking water,Nominal,int8,0,0.0,2,1.0,2.0,1.86,2.0,"2=Piped/handpump/covered well, 1=Open well/spring, 0=River/pond/tank","{'2': 429, '1': 71}"
v18,SLI: Separate kitchen,Nominal,int8,0,0.0,2,0.0,1.0,1.0,1.0,"1=Yes, 0=No","{'1': 498, '0': 2}"
v19,SLI: Ownership of house,Nominal,int8,0,0.0,2,0.0,2.0,1.97,2.0,"1=Own, 0=Rented/others","{'2': 492, '0': 8}"
v20,SLI: Agricultural land,Nominal,int8,0,0.0,4,0.0,4.0,2.16,2.0,Land holding score (0-4),"{'2': 254, '3': 112, '0': 75, '4': 59}"
v21,SLI: Irrigated land,Nominal,float64,75,15.0,2,0.0,2.0,1.28,2.0,Irrigated land score (0-4),"{'2.0': 271, '0.0': 154, 'nan': 75}"
v22,SLI: Livestock ownership,Nominal,int8,0,0.0,3,0.0,4.0,0.36,0.0,Livestock score (0-4),"{'0': 455, '4': 44, '2': 1}"
v23,SLI: Durable goods,Nominal,int8,0,0.0,2,1.0,2.0,1.74,2.0,Durable goods score (0-4),"{'2': 368, '1': 132}"
v24,Standard of living index (SLI),Nominal,int8,0,0.0,2,1.0,2.0,1.98,2.0,"0=Low SLI (<10), 1=Medium SLI (10-19), 2=High SLI (>=20)","{'2': 492, '1': 8}"
v25,Tobacco: Smoking,Nominal,int8,0,0.0,2,1.0,2.0,1.62,2.0,"0=Never, 1=Ex-smoker, 2=Current smoker","{'2': 308, '1': 192}"
v26,Tobacco: Smokeless,Nominal,int8,0,0.0,2,1.0,2.0,1.04,1.0,"0=Never, 1=Ex-user, 2=Current user","{'1': 479, '2': 21}"
v27,Tobacco: Any form,Nominal,int8,0,0.0,2,1.0,2.0,1.12,1.0,"0=No, 1=Yes","{'1': 440, '2': 60}"
v28,Alcohol use,Nominal,int8,0,0.0,2,1.0,2.0,1.04,1.0,"0=Never, 1=Ex-drinker, 2=Current drinker","{'1': 479, '2': 21}"
v29,Physical activity: Work (GPAQ),Nominal,float64,500,100.0,0,,,,,"1=Vigorous, 2=Moderate, 3=Sedentary",{'nan': 500}
v30,Physical activity: Travel (GPAQ),Nominal,float64,500,100.0,0,,,,,"1=Active (walking/cycling >=30 min), 2=Inactive",{'nan': 500}
v31,Physical activity: Leisure (GPAQ),Nominal,float64,500,100.0,0,,,,,"1=Vigorous, 2=Moderate, 3=Inactive",{'nan': 500}
v32,Overall Physical Activity level,Nominal,float64,500,100.0,0,,,,,"1=Vigorous/High, 2=Moderate, 3=Inactive/Low",{'nan': 500}
v33,Family history of Diabetes,Nominal,float64,500,100.0,0,,,,,"0=No, 1=Yes",{'nan': 500}
v34,Family history of Hypertension,Nominal,float64,500,100.0,0,,,,,"0=No, 1=Yes",{'nan': 500}
v35,Family history of Heart Disease,Nominal,float64,500,100.0,0,,,,,"0=No, 1=Yes",{'nan': 500}
v36,Diabetes (Self-reported or OGTT/FPG),Nominal,float64,10,2.0,2,0.0,1.0,0.12,0.0,"0=No, 1=Yes (FPG>=126 or 2hPG>=200 or known DM)","{'0.0': 429, '1.0': 61, 'nan': 10}"
v37,Prediabetes (IFG/IGT),Nominal,float64,10,2.0,2,0.0,1.0,0.21,0.0,"0=No, 1=Yes (IFG 100-125 or IGT 140-199)","{'0.0': 389, '1.0': 101, 'nan': 10}"
v38,Hypertension,Nominal,float64,2,0.4,2,0.0,1.0,0.35,0.0,"0=No, 1=Yes (SBP>=140 or DBP>=90 or known HTN/meds)","{'0.0': 324, '1.0': 174, 'nan': 2}"
v39,Abdominal obesity (Waist >=90M / >=80F),Nominal,float64,3,0.6,2,0.0,1.0,0.52,1.0,"0=No, 1=Yes (South Asian cutoffs: M>=90cm, F>=80cm)","{'1.0': 258, '0.0': 239, 'nan': 3}"
v40,Generalized obesity (BMI >= 25),Nominal,float64,2,0.4,2,0.0,1.0,0.35,0.0,"0=No, 1=Yes (Asian Indian cutoff BMI >= 25 kg/m2)","{'0.0': 322, '1.0': 176, 'nan': 2}"
v41,Dyslipidemia (Any lipid abnormality),Nominal,float64,369,73.8,2,0.0,1.0,0.85,1.0,"0=No, 1=Yes (Chol>=200, Trig>=150, LDL>=100, or HDL<40M/<50F)","{'nan': 369, '1.0': 112, '0.0': 19}"
