feature,model,mode,n,missing_n,missing_pct,mean,std,min,median,max,note
age,cvd,mode_a,7809,0,0.0,53.628,17.527,20.0,57.0,80.0,
gender,cvd,mode_a,7809,0,0.0,1.5533,0.4972,1.0,2.0,2.0,
education_level,cvd,mode_a,7783,26,0.33,3.7976,1.1379,1.0,4.0,5.0,
poverty_income_ratio,cvd,mode_a,6489,1320,16.9,2.9006,1.6597,0.0,2.79,5.0,
bmi,cvd,mode_a,5970,1839,23.55,29.827,7.3586,11.1,28.5,74.8,
waist_circumference,cvd,mode_a,5762,2047,26.21,101.0878,16.8985,60.0,99.5,187.0,
mean_sbp,cvd,mode_a,5863,1946,24.92,122.9297,18.0809,70.0,120.3333,232.3333,
mean_dbp,cvd,mode_a,5863,1946,24.92,74.7366,10.9982,34.0,74.0,139.0,
mean_pulse,cvd,mode_a,5863,1946,24.92,71.5045,12.1517,34.0,70.3333,129.3333,
smoking_status,cvd,mode_a,7780,29,0.37,0.5676,0.7414,0.0,0.0,2.0,
alcohol_frequency,cvd,mode_a,5230,2579,33.03,1.6681,0.6307,0.0,2.0,2.0,
physical_activity_level,cvd,mode_a,7787,22,0.28,1.916,0.6994,1.0,2.0,3.0,
sedentary_minutes,cvd,mode_a,7725,84,1.08,361.9029,211.4876,0.0,300.0,1380.0,
age,cvd,mode_b,7809,0,0.0,53.628,17.527,20.0,57.0,80.0,
gender,cvd,mode_b,7809,0,0.0,1.5533,0.4972,1.0,2.0,2.0,
education_level,cvd,mode_b,7783,26,0.33,3.7976,1.1379,1.0,4.0,5.0,
poverty_income_ratio,cvd,mode_b,6489,1320,16.9,2.9006,1.6597,0.0,2.79,5.0,
bmi,cvd,mode_b,5970,1839,23.55,29.827,7.3586,11.1,28.5,74.8,
waist_circumference,cvd,mode_b,5762,2047,26.21,101.0878,16.8985,60.0,99.5,187.0,
mean_sbp,cvd,mode_b,5863,1946,24.92,122.9297,18.0809,70.0,120.3333,232.3333,
mean_dbp,cvd,mode_b,5863,1946,24.92,74.7366,10.9982,34.0,74.0,139.0,
mean_pulse,cvd,mode_b,5863,1946,24.92,71.5045,12.1517,34.0,70.3333,129.3333,
smoking_status,cvd,mode_b,7780,29,0.37,0.5676,0.7414,0.0,0.0,2.0,
alcohol_frequency,cvd,mode_b,5230,2579,33.03,1.6681,0.6307,0.0,2.0,2.0,
physical_activity_level,cvd,mode_b,7787,22,0.28,1.916,0.6994,1.0,2.0,3.0,
sedentary_minutes,cvd,mode_b,7725,84,1.08,361.9029,211.4876,0.0,300.0,1380.0,
hba1c,cvd,mode_b,5767,2042,26.15,5.7882,1.1124,3.2,5.5,17.1,
fasting_glucose,cvd,mode_b,3210,4599,58.89,109.7679,34.2185,59.0,101.0,561.0,NHANES fasting subsample (~41% of adults)
total_cholesterol,cvd,mode_b,5498,2311,29.59,188.0762,42.6961,62.0,185.0,438.0,
hdl_cholesterol,cvd,mode_b,5498,2311,29.59,54.516,14.7956,22.0,52.0,159.0,
triglycerides,cvd,mode_b,3079,4730,60.57,120.6486,87.5765,19.0,99.0,1745.0,NHANES fasting subsample (~41% of adults)
ldl_cholesterol,cvd,mode_b,3042,4767,61.04,108.6059,36.7869,3.0,106.0,314.0,NHANES fasting subsample (~41% of adults)
serum_creatinine,cvd,mode_b,5443,2366,30.3,0.8965,0.4054,0.35,0.85,15.17,
blood_urea_nitrogen,cvd,mode_b,5444,2365,30.29,15.1806,5.8922,4.0,14.0,74.0,
serum_uric_acid,cvd,mode_b,5446,2363,30.26,5.1632,1.4191,1.1,5.1,13.2,
alt_enzyme,cvd,mode_b,5438,2371,30.36,21.779,16.4434,3.0,18.0,350.0,
ast_enzyme,cvd,mode_b,5426,2383,30.52,22.4917,13.0417,6.0,20.0,363.0,
hemoglobin,cvd,mode_b,5768,2041,26.14,13.8802,1.4829,6.3,13.9,18.6,
wbc_count,cvd,mode_b,5768,2041,26.14,6.9121,2.0333,2.1,6.6,18.4,
