filename,participant_count,overlap_with_DEMO,pct_of_DEMO,min_seqn,max_seqn
ALQ_L.xpt,6337,6337,53.1,130378,142310
BIOPRO_L.xpt,7199,7199,60.33,130378,142310
BMX_L.xpt,8860,8860,74.25,130378,142310
BPQ_L.xpt,8501,8501,71.24,130378,142310
BPXO_L.xpt,7801,7801,65.37,130378,142310
CBC_L.xpt,8727,8727,73.13,130378,142310
DEMO_L.xpt,11933,11933,100.0,130378,142310
DIQ_L.xpt,11744,11744,98.42,130378,142310
GHB_L.xpt,7199,7199,60.33,130378,142310
GLU_L.xpt,3996,3996,33.49,130378,142309
HDL_L.xpt,8068,8068,67.61,130378,142310
MCQ_L.xpt,11744,11744,98.42,130378,142310
PAQ_L.xpt,8153,8153,68.32,130378,142310
SMQ_L.xpt,9015,9015,75.55,130378,142310
TCHOL_L.xpt,8068,8068,67.61,130378,142310
TRIGLY_L.xpt,3996,3996,33.49,130378,142309
