file,variable,dtype,total_rows,null_count,null_pct,unique_values,min,max,mean,median,special_missing_codes
ALQ_L.xpt,SEQN,int64,6337,0,0.0,6337,130378.0,142310.0,136348.738,136397.0,None
ALQ_L.xpt,ALQ111,float64,6337,856,13.51,3,1.0,9.0,1.109,1.0,9:5
ALQ_L.xpt,ALQ121,float64,6337,1415,22.33,13,0.0,99.0,5.031,5.0,7:362; 9:517; 77:2; 99:3
ALQ_L.xpt,ALQ130,float64,6337,2268,35.79,17,1.0,999.0,5.843,2.0,7:17; 9:19; 777:4; 999:10
ALQ_L.xpt,ALQ142,float64,6337,2255,35.58,13,0.0,99.0,4.742,4.0,7:290; 9:398; 77:8; 99:12
ALQ_L.xpt,ALQ270,float64,6337,3971,62.66,13,0.0,99.0,4.838,4.0,7:183; 9:163; 77:4; 99:9
ALQ_L.xpt,ALQ280,float64,6337,3975,62.73,13,0.0,99.0,3.545,0.0,7:122; 9:114; 77:3; 99:7
ALQ_L.xpt,ALQ151,float64,6337,1436,22.66,4,1.0,9.0,1.821,2.0,7:1; 9:5
ALQ_L.xpt,ALQ170,float64,6337,3979,62.79,21,0.0,999.0,4.396,1.0,7:11; 9:9; 777:3; 999:3
BIOPRO_L.xpt,SEQN,int64,7199,0,0.0,7199,130378.0,142310.0,136328.408,136366.0,None
BIOPRO_L.xpt,WTPH2YR,float64,7199,0,0.0,6600,0.0,241728.857,38893.262,31031.846,None
BIOPRO_L.xpt,LBXSATSI,float64,7199,878,12.2,125,3.0,350.0,21.065,17.0,7:104; 9:216; 77:3; 99:1
BIOPRO_L.xpt,LBXSAL,float64,7199,833,11.57,33,2.2,5.5,4.099,4.1,None
BIOPRO_L.xpt,LBDSALSI,float64,7199,833,11.57,33,22.0,55.0,40.992,41.0,None
BIOPRO_L.xpt,LBXSAPSI,float64,7199,872,12.11,319,20.0,731.0,94.273,83.0,77:114; 99:60
BIOPRO_L.xpt,LBXSASSI,float64,7199,891,12.38,108,6.0,518.0,22.301,20.0,7:1; 9:14; 77:1
BIOPRO_L.xpt,LBXSC3SI,float64,7199,874,12.14,22,15.0,37.0,24.449,24.0,None
BIOPRO_L.xpt,LBXSBU,float64,7199,873,12.13,57,4.0,74.0,14.66,14.0,7:156; 9:348
BIOPRO_L.xpt,LBDSBUSI,float64,7199,873,12.13,57,1.4,26.4,5.236,5.0,None
BIOPRO_L.xpt,LBXSCLSI,float64,7199,870,12.09,33,82.0,133.0,101.424,102.0,99:481
BIOPRO_L.xpt,LBXSCK,float64,7199,878,12.2,565,10.0,16837.0,148.65,100.0,77:56; 99:44
BIOPRO_L.xpt,LBXSCR,float64,7199,873,12.13,188,0.33,15.17,0.873,0.83,None
BIOPRO_L.xpt,LBDSCRSI,float64,7199,873,12.13,188,29.17,1341.03,77.158,73.37,None
BIOPRO_L.xpt,LBXSGB,float64,7199,835,11.6,37,1.7,5.7,3.068,3.0,None
BIOPRO_L.xpt,LBDSGBSI,float64,7199,835,11.6,37,17.0,57.0,30.678,30.0,None
BIOPRO_L.xpt,LBXSGL,float64,7199,842,11.7,236,40.0,898.0,102.354,94.0,77:46; 99:181
BIOPRO_L.xpt,LBDSGLSI,float64,7199,842,11.7,29,2.0,50.0,5.661,5.0,7:292; 9:82
BIOPRO_L.xpt,LBXSGTSI,float64,7199,872,12.11,209,2.0,1541.0,28.082,18.0,7:90; 9:238; 77:3; 99:1
BIOPRO_L.xpt,LBDSGTLC,float64,7199,872,12.11,2,0.0,1.0,0.0,0.0,None
BIOPRO_L.xpt,LBXSIR,float64,7199,835,11.6,221,8.0,379.0,88.957,85.0,9:1; 77:84; 99:74
BIOPRO_L.xpt,LBDSIRSI,float64,7199,835,11.6,47,1.0,68.0,15.931,15.0,7:128; 9:266
BIOPRO_L.xpt,LBXSLDSI,float64,7199,2459,34.16,231,42.0,837.0,164.013,160.0,99:4
BIOPRO_L.xpt,LBXMAGN,float64,7199,875,12.15,21,0.7,2.8,1.97,2.0,None
BIOPRO_L.xpt,LBXSOSSI,float64,7199,877,12.18,59,240.0,334.0,279.276,279.0,None
BIOPRO_L.xpt,LBXSPH,float64,7199,877,12.18,49,1.6,7.0,3.609,3.6,7:1
BIOPRO_L.xpt,LBDSPHSI,float64,7199,877,12.18,49,0.52,2.26,1.166,1.16,None
BIOPRO_L.xpt,LBXSKSI,float64,7199,918,12.75,34,2.5,6.4,4.103,4.1,None
BIOPRO_L.xpt,LBXSNASI,float64,7199,833,11.57,31,120.0,167.0,139.44,140.0,None
BIOPRO_L.xpt,LBXSTB,float64,7199,874,12.14,39,0.11,14.2,0.498,0.4,None
BIOPRO_L.xpt,LBDSTBSI,float64,7199,1006,13.97,38,3.42,242.82,8.65,6.84,None
BIOPRO_L.xpt,LBDSTBLC,float64,7199,874,12.14,2,0.0,1.0,0.021,0.0,None
BIOPRO_L.xpt,LBXSCA,float64,7199,837,11.63,39,7.5,11.7,9.429,9.4,9:356
BIOPRO_L.xpt,LBDSCASI,float64,7199,837,11.63,11,1.9,2.9,2.37,2.4,None
BIOPRO_L.xpt,LBXSCH,float64,7199,871,12.1,262,63.0,454.0,184.96,181.0,99:5
BIOPRO_L.xpt,LBDSCHSI,float64,7199,871,12.1,262,1.63,11.76,4.79,4.69,None
BIOPRO_L.xpt,LBXSTP,float64,7199,835,11.6,40,5.0,9.1,7.167,7.2,7:565; 9:2
BIOPRO_L.xpt,LBDSTPSI,float64,7199,835,11.6,40,50.0,91.0,71.67,72.0,77:281
BIOPRO_L.xpt,LBXSTR,float64,7199,840,11.67,446,24.0,1724.0,128.15,104.0,77:67; 99:56
BIOPRO_L.xpt,LBDSTRSI,float64,7199,840,11.67,446,0.27,19.48,1.448,1.18,None
BIOPRO_L.xpt,LBXSUA,float64,7199,870,12.09,95,1.1,13.2,5.134,5.0,7:70; 9:7
BIOPRO_L.xpt,LBDSUASI,float64,7199,870,12.09,95,65.4,785.1,305.351,297.4,None
BMX_L.xpt,SEQN,int64,8860,0,0.0,8860,130378.0,142310.0,136345.828,136377.5,None
BMX_L.xpt,BMDSTATS,float64,8860,0,0.0,4,1.0,4.0,1.132,1.0,None
BMX_L.xpt,BMXWT,float64,8860,106,1.2,1389,2.7,248.2,70.549,71.7,7:4; 9:5; 77:9; 99:6
BMX_L.xpt,BMIWT,float64,8860,8515,96.11,3,1.0,4.0,2.881,3.0,None
BMX_L.xpt,BMXRECUM,float64,8860,8406,94.88,299,48.5,118.8,84.33,84.7,99:1
BMX_L.xpt,BMIRECUM,float64,8860,8842,99.8,1,1.0,1.0,1.0,1.0,None
BMX_L.xpt,BMXHEAD,float64,8860,8790,99.21,49,34.4,46.5,41.933,42.4,None
BMX_L.xpt,BMIHEAD,float64,8860,8860,100.0,0,,,,,None
BMX_L.xpt,BMXHT,float64,8860,361,4.07,995,79.1,200.7,159.665,163.6,99:3
BMX_L.xpt,BMIHT,float64,8860,8726,98.49,2,1.0,3.0,2.313,3.0,None
BMX_L.xpt,BMXBMI,float64,8860,389,4.39,451,11.1,74.8,27.247,26.4,None
BMX_L.xpt,BMDBMIC,float64,8860,6368,71.87,4,1.0,4.0,2.561,2.0,None
BMX_L.xpt,BMXLEG,float64,8860,1525,17.21,231,24.9,51.6,38.13,38.1,None
BMX_L.xpt,BMILEG,float64,8860,8464,95.53,1,1.0,1.0,1.0,1.0,None
BMX_L.xpt,BMXARML,float64,8860,292,3.3,351,10.0,49.2,35.112,36.5,None
BMX_L.xpt,BMIARML,float64,8860,8660,97.74,1,1.0,1.0,1.0,1.0,None
BMX_L.xpt,BMXARMC,float64,8860,298,3.36,391,12.0,63.3,30.56,31.2,None
BMX_L.xpt,BMIARMC,float64,8860,8655,97.69,1,1.0,1.0,1.0,1.0,None
BMX_L.xpt,BMXWAIST,float64,8860,670,7.56,1049,39.8,187.0,92.121,92.7,77:20; 99:28
BMX_L.xpt,BMIWAIST,float64,8860,8513,96.08,1,1.0,1.0,1.0,1.0,None
BMX_L.xpt,BMXHIP,float64,8860,2084,23.52,764,69.9,187.1,106.259,103.7,99:33
BMX_L.xpt,BMIHIP,float64,8860,8499,95.93,1,1.0,1.0,1.0,1.0,None
BPQ_L.xpt,SEQN,int64,8501,0,0.0,8501,130378.0,142310.0,136369.137,136402.0,None
BPQ_L.xpt,BPQ020,float64,8501,3,0.04,4,1.0,9.0,1.659,2.0,7:1; 9:10
BPQ_L.xpt,BPQ030,float64,8501,5533,65.09,4,1.0,9.0,1.229,1.0,7:1; 9:25
BPQ_L.xpt,BPQ150,float64,8501,5532,65.07,3,1.0,9.0,1.187,1.0,9:4
BPQ_L.xpt,BPQ080,float64,8501,3,0.04,4,1.0,9.0,1.68,2.0,7:1; 9:53
BPQ_L.xpt,BPQ101D,float64,8501,3,0.04,3,1.0,9.0,1.777,2.0,9:33
BPXO_L.xpt,SEQN,int64,7801,0,0.0,7801,130378.0,142310.0,136349.487,136382.0,None
BPXO_L.xpt,BPAOARM,object,7801,0,0.0,3,,,,,None
BPXO_L.xpt,BPAOCSZ,float64,7801,190,2.44,4,2.0,5.0,3.523,4.0,None
BPXO_L.xpt,BPXOSY1,float64,7801,284,3.64,137,61.0,232.0,119.289,117.0,77:4; 99:108
BPXO_L.xpt,BPXODI1,float64,7801,284,3.64,94,33.0,142.0,72.748,72.0,77:235; 99:25
BPXO_L.xpt,BPXOSY2,float64,7801,296,3.79,136,59.0,233.0,119.08,116.0,77:1; 99:101
BPXO_L.xpt,BPXODI2,float64,7801,296,3.79,89,32.0,139.0,72.09,71.0,77:230; 99:16
BPXO_L.xpt,BPXOSY3,float64,7801,321,4.11,146,50.0,232.0,118.918,116.0,77:4; 99:116
BPXO_L.xpt,BPXODI3,float64,7801,321,4.11,93,24.0,136.0,71.806,71.0,77:212; 99:20
BPXO_L.xpt,BPXOPLS1,float64,7801,284,3.64,89,35.0,158.0,72.338,71.0,77:194; 99:36
BPXO_L.xpt,BPXOPLS2,float64,7801,296,3.79,91,32.0,141.0,73.087,72.0,77:187; 99:39
BPXO_L.xpt,BPXOPLS3,float64,7801,321,4.11,93,31.0,154.0,73.685,73.0,77:213; 99:40
CBC_L.xpt,SEQN,int64,8727,0,0.0,8727,130378.0,142310.0,136351.108,136385.0,None
CBC_L.xpt,WTPH2YR,float64,8727,0,0.0,7425,0.0,253478.778,37080.516,29684.976,None
CBC_L.xpt,LBXWBCSI,float64,8727,1134,12.99,145,2.1,20.8,6.967,6.7,7:133; 9:59
