target,mode,model,calibration_method,bin,range,count,observed_rate,mean_pred_prob,abs_error
cvd,mode_a,Optimized Random Forest,raw,1,"[0.00, 0.10]",594,0.0219,0.0402,0.0183
cvd,mode_a,Optimized Random Forest,raw,2,"[0.10, 0.20]",303,0.1353,0.1469,0.0116
cvd,mode_a,Optimized Random Forest,raw,3,"[0.20, 0.30]",174,0.2874,0.2421,0.0453
cvd,mode_a,Optimized Random Forest,raw,4,"[0.30, 0.40]",76,0.3816,0.3434,0.0382
cvd,mode_a,Optimized Random Forest,raw,5,"[0.40, 0.50]",19,0.6842,0.4304,0.2538
cvd,mode_a,Optimized Random Forest,raw,6,"[0.50, 0.60]",3,0.0,0.5193,0.5193
cvd,mode_a,Optimized Random Forest,raw,7,"[0.60, 0.70]",2,0.5,0.617,0.117
cvd,mode_a,Optimized Random Forest,raw,8,"[0.70, 0.80]",0,0.0,0.0,0.0
cvd,mode_a,Optimized Random Forest,raw,9,"[0.80, 0.90]",0,0.0,0.0,0.0
cvd,mode_a,Optimized Random Forest,raw,10,"[0.90, 1.00]",0,0.0,0.0,0.0
cvd,mode_a,Optimized Random Forest,sigmoid_oof,1,"[0.00, 0.10]",664,0.0301,0.0314,0.0012
cvd,mode_a,Optimized Random Forest,sigmoid_oof,2,"[0.10, 0.20]",222,0.1532,0.147,0.0061
cvd,mode_a,Optimized Random Forest,sigmoid_oof,3,"[0.20, 0.30]",152,0.2368,0.2484,0.0115
cvd,mode_a,Optimized Random Forest,sigmoid_oof,4,"[0.30, 0.40]",67,0.3881,0.3548,0.0333
cvd,mode_a,Optimized Random Forest,sigmoid_oof,5,"[0.40, 0.50]",44,0.5,0.4454,0.0546
cvd,mode_a,Optimized Random Forest,sigmoid_oof,6,"[0.50, 0.60]",12,0.3333,0.5249,0.1916
cvd,mode_a,Optimized Random Forest,sigmoid_oof,7,"[0.60, 0.70]",7,0.5714,0.6354,0.0639
cvd,mode_a,Optimized Random Forest,sigmoid_oof,8,"[0.70, 0.80]",2,0.0,0.7511,0.7511
cvd,mode_a,Optimized Random Forest,sigmoid_oof,9,"[0.80, 0.90]",1,1.0,0.8128,0.1872
cvd,mode_a,Optimized Random Forest,sigmoid_oof,10,"[0.90, 1.00]",0,0.0,0.0,0.0
cvd,mode_a,Optimized Random Forest,isotonic_oof,1,"[0.00, 0.10]",728,0.0371,0.0328,0.0043
cvd,mode_a,Optimized Random Forest,isotonic_oof,2,"[0.10, 0.20]",174,0.1609,0.1727,0.0118
cvd,mode_a,Optimized Random Forest,isotonic_oof,3,"[0.20, 0.30]",132,0.25,0.2401,0.0099
cvd,mode_a,Optimized Random Forest,isotonic_oof,4,"[0.30, 0.40]",69,0.4058,0.3746,0.0312
cvd,mode_a,Optimized Random Forest,isotonic_oof,5,"[0.40, 0.50]",34,0.4412,0.445,0.0039
cvd,mode_a,Optimized Random Forest,isotonic_oof,6,"[0.50, 0.60]",15,0.6667,0.5251,0.1416
cvd,mode_a,Optimized Random Forest,isotonic_oof,7,"[0.60, 0.70]",13,0.3846,0.6377,0.253
cvd,mode_a,Optimized Random Forest,isotonic_oof,8,"[0.70, 0.80]",5,0.2,0.7857,0.5857
cvd,mode_a,Optimized Random Forest,isotonic_oof,9,"[0.80, 0.90]",0,0.0,0.0,0.0
cvd,mode_a,Optimized Random Forest,isotonic_oof,10,"[0.90, 1.00]",1,0.0,0.9775,0.9775
