target,mode,model,calibration_method,bin,range,count,observed_rate,mean_pred_prob,abs_error
cvd,mode_b,Optimized Random Forest,raw,1,"[0.00, 0.10]",669,0.0329,0.0356,0.0027
cvd,mode_b,Optimized Random Forest,raw,2,"[0.10, 0.20]",238,0.1176,0.1439,0.0263
cvd,mode_b,Optimized Random Forest,raw,3,"[0.20, 0.30]",130,0.2923,0.2485,0.0438
cvd,mode_b,Optimized Random Forest,raw,4,"[0.30, 0.40]",74,0.3514,0.343,0.0083
cvd,mode_b,Optimized Random Forest,raw,5,"[0.40, 0.50]",51,0.5098,0.4523,0.0575
cvd,mode_b,Optimized Random Forest,raw,6,"[0.50, 0.60]",9,0.7778,0.5341,0.2437
cvd,mode_b,Optimized Random Forest,raw,7,"[0.60, 0.70]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,raw,8,"[0.70, 0.80]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,raw,9,"[0.80, 0.90]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,raw,10,"[0.90, 1.00]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,sigmoid_oof,1,"[0.00, 0.10]",687,0.032,0.0317,0.0004
cvd,mode_b,Optimized Random Forest,sigmoid_oof,2,"[0.10, 0.20]",211,0.1232,0.1434,0.0202
cvd,mode_b,Optimized Random Forest,sigmoid_oof,3,"[0.20, 0.30]",113,0.2743,0.2487,0.0256
cvd,mode_b,Optimized Random Forest,sigmoid_oof,4,"[0.30, 0.40]",82,0.3537,0.3472,0.0065
cvd,mode_b,Optimized Random Forest,sigmoid_oof,5,"[0.40, 0.50]",41,0.4634,0.4496,0.0139
cvd,mode_b,Optimized Random Forest,sigmoid_oof,6,"[0.50, 0.60]",33,0.4848,0.5388,0.0539
cvd,mode_b,Optimized Random Forest,sigmoid_oof,7,"[0.60, 0.70]",4,1.0,0.6269,0.3731
cvd,mode_b,Optimized Random Forest,sigmoid_oof,8,"[0.70, 0.80]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,sigmoid_oof,9,"[0.80, 0.90]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,sigmoid_oof,10,"[0.90, 1.00]",0,0.0,0.0,0.0
cvd,mode_b,Optimized Random Forest,isotonic_oof,1,"[0.00, 0.10]",782,0.0396,0.034,0.0056
cvd,mode_b,Optimized Random Forest,isotonic_oof,2,"[0.10, 0.20]",131,0.1756,0.1762,0.0006
cvd,mode_b,Optimized Random Forest,isotonic_oof,3,"[0.20, 0.30]",153,0.2549,0.2673,0.0124
cvd,mode_b,Optimized Random Forest,isotonic_oof,4,"[0.30, 0.40]",12,0.5,0.345,0.155
cvd,mode_b,Optimized Random Forest,isotonic_oof,5,"[0.40, 0.50]",22,0.7727,0.444,0.3287
cvd,mode_b,Optimized Random Forest,isotonic_oof,6,"[0.50, 0.60]",61,0.3934,0.5531,0.1597
cvd,mode_b,Optimized Random Forest,isotonic_oof,7,"[0.60, 0.70]",2,0.0,0.6353,0.6353
cvd,mode_b,Optimized Random Forest,isotonic_oof,8,"[0.70, 0.80]",1,1.0,0.7537,0.2463
cvd,mode_b,Optimized Random Forest,isotonic_oof,9,"[0.80, 0.90]",1,0.0,0.869,0.869
cvd,mode_b,Optimized Random Forest,isotonic_oof,10,"[0.90, 1.00]",6,1.0,1.0,0.0
