target,mode,model,calibration_method,bin,range,count,observed_rate,mean_pred_prob,abs_error
diabetes,mode_a,HistGradientBoosting,raw,1,"[0.00, 0.10]",539,0.026,0.0399,0.0139
diabetes,mode_a,HistGradientBoosting,raw,2,"[0.10, 0.20]",238,0.2101,0.1388,0.0713
diabetes,mode_a,HistGradientBoosting,raw,3,"[0.20, 0.30]",144,0.2986,0.2487,0.0499
diabetes,mode_a,HistGradientBoosting,raw,4,"[0.30, 0.40]",87,0.3563,0.3485,0.0079
diabetes,mode_a,HistGradientBoosting,raw,5,"[0.40, 0.50]",64,0.2969,0.4417,0.1448
diabetes,mode_a,HistGradientBoosting,raw,6,"[0.50, 0.60]",55,0.4727,0.5419,0.0692
diabetes,mode_a,HistGradientBoosting,raw,7,"[0.60, 0.70]",28,0.6071,0.6445,0.0374
diabetes,mode_a,HistGradientBoosting,raw,8,"[0.70, 0.80]",16,0.5,0.7373,0.2373
diabetes,mode_a,HistGradientBoosting,raw,9,"[0.80, 0.90]",0,0.0,0.0,0.0
diabetes,mode_a,HistGradientBoosting,raw,10,"[0.90, 1.00]",0,0.0,0.0,0.0
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,1,"[0.00, 0.10]",500,0.022,0.0441,0.0221
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,2,"[0.10, 0.20]",272,0.1912,0.1406,0.0505
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,3,"[0.20, 0.30]",160,0.3,0.2494,0.0506
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,4,"[0.30, 0.40]",98,0.3469,0.3496,0.0026
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,5,"[0.40, 0.50]",71,0.3521,0.4526,0.1005
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,6,"[0.50, 0.60]",42,0.5238,0.5445,0.0207
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,7,"[0.60, 0.70]",25,0.56,0.6544,0.0944
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,8,"[0.70, 0.80]",3,0.6667,0.7178,0.0511
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,9,"[0.80, 0.90]",0,0.0,0.0,0.0
diabetes,mode_a,HistGradientBoosting,sigmoid_oof,10,"[0.90, 1.00]",0,0.0,0.0,0.0
diabetes,mode_a,HistGradientBoosting,isotonic_oof,1,"[0.00, 0.10]",529,0.0284,0.0227,0.0056
diabetes,mode_a,HistGradientBoosting,isotonic_oof,2,"[0.10, 0.20]",137,0.2044,0.1658,0.0385
diabetes,mode_a,HistGradientBoosting,isotonic_oof,3,"[0.20, 0.30]",179,0.2905,0.2635,0.027
diabetes,mode_a,HistGradientBoosting,isotonic_oof,4,"[0.30, 0.40]",213,0.2864,0.3296,0.0432
diabetes,mode_a,HistGradientBoosting,isotonic_oof,5,"[0.40, 0.50]",49,0.3878,0.4116,0.0239
diabetes,mode_a,HistGradientBoosting,isotonic_oof,6,"[0.50, 0.60]",45,0.5778,0.5503,0.0275
diabetes,mode_a,HistGradientBoosting,isotonic_oof,7,"[0.60, 0.70]",19,0.3684,0.6447,0.2762
diabetes,mode_a,HistGradientBoosting,isotonic_oof,8,"[0.70, 0.80]",0,0.0,0.0,0.0
diabetes,mode_a,HistGradientBoosting,isotonic_oof,9,"[0.80, 0.90]",0,0.0,0.0,0.0
diabetes,mode_a,HistGradientBoosting,isotonic_oof,10,"[0.90, 1.00]",0,0.0,0.0,0.0
