target,mode,model,calibration_method,bin,range,count,observed_rate,mean_pred_prob,abs_error
diabetes,mode_b,XGBoost,raw,1,"[0.00, 0.10]",551,0.02,0.0432,0.0233
diabetes,mode_b,XGBoost,raw,2,"[0.10, 0.20]",242,0.1901,0.1453,0.0448
diabetes,mode_b,XGBoost,raw,3,"[0.20, 0.30]",146,0.3219,0.2476,0.0743
diabetes,mode_b,XGBoost,raw,4,"[0.30, 0.40]",80,0.2625,0.3392,0.0767
diabetes,mode_b,XGBoost,raw,5,"[0.40, 0.50]",69,0.4058,0.4501,0.0443
diabetes,mode_b,XGBoost,raw,6,"[0.50, 0.60]",29,0.5517,0.5385,0.0132
diabetes,mode_b,XGBoost,raw,7,"[0.60, 0.70]",29,0.6897,0.644,0.0457
diabetes,mode_b,XGBoost,raw,8,"[0.70, 0.80]",17,0.7647,0.7552,0.0095
diabetes,mode_b,XGBoost,raw,9,"[0.80, 0.90]",8,0.75,0.841,0.091
diabetes,mode_b,XGBoost,raw,10,"[0.90, 1.00]",0,0.0,0.0,0.0
diabetes,mode_b,XGBoost,sigmoid_oof,1,"[0.00, 0.10]",567,0.0282,0.0411,0.0129
diabetes,mode_b,XGBoost,sigmoid_oof,2,"[0.10, 0.20]",228,0.1842,0.1451,0.0391
diabetes,mode_b,XGBoost,sigmoid_oof,3,"[0.20, 0.30]",135,0.3259,0.2467,0.0792
diabetes,mode_b,XGBoost,sigmoid_oof,4,"[0.30, 0.40]",84,0.2738,0.3408,0.067
diabetes,mode_b,XGBoost,sigmoid_oof,5,"[0.40, 0.50]",56,0.3571,0.4472,0.0901
diabetes,mode_b,XGBoost,sigmoid_oof,6,"[0.50, 0.60]",41,0.5366,0.5293,0.0073
diabetes,mode_b,XGBoost,sigmoid_oof,7,"[0.60, 0.70]",30,0.6333,0.6498,0.0165
diabetes,mode_b,XGBoost,sigmoid_oof,8,"[0.70, 0.80]",17,0.7647,0.7522,0.0125
diabetes,mode_b,XGBoost,sigmoid_oof,9,"[0.80, 0.90]",13,0.6923,0.8434,0.1511
diabetes,mode_b,XGBoost,sigmoid_oof,10,"[0.90, 1.00]",0,0.0,0.0,0.0
diabetes,mode_b,XGBoost,isotonic_oof,1,"[0.00, 0.10]",554,0.0235,0.0194,0.0041
diabetes,mode_b,XGBoost,isotonic_oof,2,"[0.10, 0.20]",184,0.163,0.1741,0.011
diabetes,mode_b,XGBoost,isotonic_oof,3,"[0.20, 0.30]",105,0.3714,0.2566,0.1148
diabetes,mode_b,XGBoost,isotonic_oof,4,"[0.30, 0.40]",221,0.2805,0.3218,0.0413
diabetes,mode_b,XGBoost,isotonic_oof,5,"[0.40, 0.50]",15,0.5333,0.4668,0.0665
diabetes,mode_b,XGBoost,isotonic_oof,6,"[0.50, 0.60]",37,0.4595,0.5413,0.0819
diabetes,mode_b,XGBoost,isotonic_oof,7,"[0.60, 0.70]",17,0.7059,0.6463,0.0595
diabetes,mode_b,XGBoost,isotonic_oof,8,"[0.70, 0.80]",22,0.8636,0.738,0.1257
diabetes,mode_b,XGBoost,isotonic_oof,9,"[0.80, 0.90]",12,0.5,0.8344,0.3344
diabetes,mode_b,XGBoost,isotonic_oof,10,"[0.90, 1.00]",4,0.5,1.0,0.5
