target,mode,model,calibration_method,bin,range,count,observed_rate,mean_pred_prob,abs_error
hypertension,mode_a,Logistic Regression,raw,1,"[0.00, 0.10]",62,0.0323,0.0829,0.0506
hypertension,mode_a,Logistic Regression,raw,2,"[0.10, 0.20]",166,0.0904,0.1497,0.0593
hypertension,mode_a,Logistic Regression,raw,3,"[0.20, 0.30]",123,0.1463,0.2476,0.1012
hypertension,mode_a,Logistic Regression,raw,4,"[0.30, 0.40]",103,0.3204,0.3498,0.0294
hypertension,mode_a,Logistic Regression,raw,5,"[0.40, 0.50]",116,0.3793,0.4499,0.0706
hypertension,mode_a,Logistic Regression,raw,6,"[0.50, 0.60]",133,0.5038,0.5507,0.0469
hypertension,mode_a,Logistic Regression,raw,7,"[0.60, 0.70]",164,0.628,0.651,0.0229
hypertension,mode_a,Logistic Regression,raw,8,"[0.70, 0.80]",173,0.711,0.7497,0.0388
hypertension,mode_a,Logistic Regression,raw,9,"[0.80, 0.90]",118,0.7203,0.836,0.1157
hypertension,mode_a,Logistic Regression,raw,10,"[0.90, 1.00]",12,0.8333,0.9193,0.0859
hypertension,mode_a,Logistic Regression,sigmoid_oof,1,"[0.00, 0.10]",119,0.0588,0.0718,0.013
hypertension,mode_a,Logistic Regression,sigmoid_oof,2,"[0.10, 0.20]",187,0.1123,0.1445,0.0322
hypertension,mode_a,Logistic Regression,sigmoid_oof,3,"[0.20, 0.30]",119,0.2521,0.2481,0.004
hypertension,mode_a,Logistic Regression,sigmoid_oof,4,"[0.30, 0.40]",124,0.371,0.3522,0.0187
hypertension,mode_a,Logistic Regression,sigmoid_oof,5,"[0.40, 0.50]",121,0.4959,0.4532,0.0427
hypertension,mode_a,Logistic Regression,sigmoid_oof,6,"[0.50, 0.60]",142,0.5915,0.5506,0.041
hypertension,mode_a,Logistic Regression,sigmoid_oof,7,"[0.60, 0.70]",154,0.6818,0.6492,0.0326
hypertension,mode_a,Logistic Regression,sigmoid_oof,8,"[0.70, 0.80]",144,0.7222,0.7485,0.0263
hypertension,mode_a,Logistic Regression,sigmoid_oof,9,"[0.80, 0.90]",55,0.7091,0.8374,0.1283
hypertension,mode_a,Logistic Regression,sigmoid_oof,10,"[0.90, 1.00]",5,0.8,0.9203,0.1203
hypertension,mode_a,Logistic Regression,isotonic_oof,1,"[0.00, 0.10]",216,0.0972,0.0641,0.0331
hypertension,mode_a,Logistic Regression,isotonic_oof,2,"[0.10, 0.20]",137,0.1022,0.1438,0.0416
hypertension,mode_a,Logistic Regression,isotonic_oof,3,"[0.20, 0.30]",52,0.3846,0.2851,0.0996
hypertension,mode_a,Logistic Regression,isotonic_oof,4,"[0.30, 0.40]",131,0.3435,0.3611,0.0176
hypertension,mode_a,Logistic Regression,isotonic_oof,5,"[0.40, 0.50]",65,0.4615,0.4436,0.0179
hypertension,mode_a,Logistic Regression,isotonic_oof,6,"[0.50, 0.60]",148,0.5473,0.5261,0.0211
hypertension,mode_a,Logistic Regression,isotonic_oof,7,"[0.60, 0.70]",161,0.6398,0.6482,0.0084
hypertension,mode_a,Logistic Regression,isotonic_oof,8,"[0.70, 0.80]",243,0.716,0.7336,0.0175
hypertension,mode_a,Logistic Regression,isotonic_oof,9,"[0.80, 0.90]",11,0.7273,0.8033,0.076
hypertension,mode_a,Logistic Regression,isotonic_oof,10,"[0.90, 1.00]",6,0.6667,1.0,0.3333
