target,mode,model,calibration_method,bin,range,count,observed_rate,mean_pred_prob,abs_error
hypertension,mode_b,Optimized Random Forest,raw,1,"[0.00, 0.10]",150,0.0667,0.0768,0.0102
hypertension,mode_b,Optimized Random Forest,raw,2,"[0.10, 0.20]",132,0.1136,0.1477,0.0341
hypertension,mode_b,Optimized Random Forest,raw,3,"[0.20, 0.30]",115,0.2174,0.2458,0.0284
hypertension,mode_b,Optimized Random Forest,raw,4,"[0.30, 0.40]",129,0.3101,0.3462,0.0361
hypertension,mode_b,Optimized Random Forest,raw,5,"[0.40, 0.50]",103,0.4078,0.4507,0.0429
hypertension,mode_b,Optimized Random Forest,raw,6,"[0.50, 0.60]",178,0.5618,0.5559,0.0059
hypertension,mode_b,Optimized Random Forest,raw,7,"[0.60, 0.70]",192,0.6771,0.6438,0.0333
hypertension,mode_b,Optimized Random Forest,raw,8,"[0.70, 0.80]",122,0.7787,0.7451,0.0336
hypertension,mode_b,Optimized Random Forest,raw,9,"[0.80, 0.90]",49,0.8776,0.8363,0.0413
hypertension,mode_b,Optimized Random Forest,raw,10,"[0.90, 1.00]",0,0.0,0.0,0.0
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,1,"[0.00, 0.10]",185,0.0649,0.0603,0.0045
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,2,"[0.10, 0.20]",138,0.1739,0.147,0.0269
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,3,"[0.20, 0.30]",113,0.2743,0.2522,0.0221
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,4,"[0.30, 0.40]",104,0.2885,0.3486,0.0601
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,5,"[0.40, 0.50]",90,0.4,0.4509,0.0509
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,6,"[0.50, 0.60]",155,0.5226,0.557,0.0345
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,7,"[0.60, 0.70]",179,0.6816,0.6446,0.037
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,8,"[0.70, 0.80]",130,0.7923,0.7485,0.0438
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,9,"[0.80, 0.90]",72,0.8056,0.8447,0.0391
hypertension,mode_b,Optimized Random Forest,sigmoid_oof,10,"[0.90, 1.00]",4,0.75,0.9184,0.1684
hypertension,mode_b,Optimized Random Forest,isotonic_oof,1,"[0.00, 0.10]",201,0.0945,0.0619,0.0326
hypertension,mode_b,Optimized Random Forest,isotonic_oof,2,"[0.10, 0.20]",135,0.1556,0.1561,0.0006
hypertension,mode_b,Optimized Random Forest,isotonic_oof,3,"[0.20, 0.30]",81,0.2593,0.2471,0.0121
hypertension,mode_b,Optimized Random Forest,isotonic_oof,4,"[0.30, 0.40]",177,0.3616,0.3404,0.0212
hypertension,mode_b,Optimized Random Forest,isotonic_oof,5,"[0.40, 0.50]",46,0.3261,0.4263,0.1002
hypertension,mode_b,Optimized Random Forest,isotonic_oof,6,"[0.50, 0.60]",127,0.4882,0.5195,0.0313
hypertension,mode_b,Optimized Random Forest,isotonic_oof,7,"[0.60, 0.70]",159,0.7296,0.6703,0.0593
hypertension,mode_b,Optimized Random Forest,isotonic_oof,8,"[0.70, 0.80]",147,0.7211,0.7502,0.0291
hypertension,mode_b,Optimized Random Forest,isotonic_oof,9,"[0.80, 0.90]",74,0.7838,0.823,0.0392
hypertension,mode_b,Optimized Random Forest,isotonic_oof,10,"[0.90, 1.00]",23,0.7826,0.9372,0.1546
