threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.05,0.932,0.4727,0.2024,0.9798,0.5303,0.7023,0.3325,0.5415,0.4046,137,540,10,484
0.06,0.9252,0.5166,0.2155,0.9796,0.5679,0.7209,0.3496,0.5578,0.4418,136,495,11,529
0.07,0.9184,0.5479,0.2258,0.9791,0.5944,0.7331,0.3624,0.5691,0.4662,135,463,12,561
0.08,0.9116,0.5693,0.233,0.9782,0.6123,0.7405,0.3712,0.5761,0.4809,134,441,13,583
0.09,0.8776,0.5996,0.2393,0.9715,0.6345,0.7386,0.3761,0.5723,0.4772,129,410,18,614
0.1,0.8639,0.6289,0.2505,0.9699,0.6584,0.7464,0.3884,0.5799,0.4929,127,380,20,644
0.11,0.8571,0.6465,0.2582,0.9693,0.6729,0.7518,0.3969,0.5855,0.5036,126,362,21,662
0.12,0.8299,0.6719,0.2664,0.9649,0.6917,0.7509,0.4033,0.5832,0.5018,122,336,25,688
0.13,0.8299,0.6895,0.2773,0.9658,0.7071,0.7597,0.4157,0.5934,0.5194,122,318,25,706
0.14,0.7891,0.71,0.2809,0.9591,0.7199,0.7495,0.4143,0.5794,0.4991,116,297,31,727
0.15,0.7415,0.7246,0.2788,0.9513,0.7267,0.7331,0.4052,0.5567,0.4661,109,282,38,742
0.16,0.7211,0.748,0.2912,0.9492,0.7447,0.7346,0.4149,0.5567,0.4691,106,258,41,766
0.17,0.6803,0.7705,0.2985,0.9438,0.7592,0.7254,0.4149,0.5417,0.4508,100,235,47,789
0.18,0.6463,0.7822,0.2987,0.939,0.7652,0.7142,0.4086,0.5243,0.4285,95,223,52,801
0.19,0.6463,0.8037,0.3209,0.9406,0.7839,0.725,0.4289,0.5373,0.45,95,201,52,823
0.2,0.6327,0.8125,0.3263,0.9391,0.7899,0.7226,0.4306,0.5326,0.4452,93,192,54,832
0.21,0.619,0.8281,0.3408,0.9381,0.8019,0.7236,0.4396,0.5322,0.4472,91,176,56,848
0.22,0.5986,0.8398,0.3492,0.9358,0.8096,0.7192,0.4411,0.5238,0.4385,88,164,59,860
0.23,0.5714,0.8467,0.3485,0.9323,0.8121,0.7091,0.433,0.5066,0.4181,84,157,63,867
0.24,0.551,0.8604,0.3616,0.9303,0.8215,0.7057,0.4367,0.4988,0.4114,81,143,66,881
0.25,0.5238,0.874,0.3738,0.9275,0.8301,0.6989,0.4363,0.4849,0.3978,77,129,70,895
0.26,0.4966,0.8867,0.3862,0.9246,0.8377,0.6917,0.4345,0.4698,0.3833,73,116,74,908
0.27,0.4558,0.8945,0.3829,0.9197,0.8395,0.6752,0.4161,0.4391,0.3503,67,108,80,916
0.28,0.4354,0.9111,0.4129,0.9183,0.8514,0.6733,0.4238,0.4307,0.3465,64,91,83,933
0.29,0.4218,0.9199,0.4306,0.9172,0.8574,0.6708,0.4261,0.4235,0.3417,62,82,85,942
0.3,0.3878,0.9258,0.4286,0.9133,0.8582,0.6568,0.4071,0.3953,0.3135,57,76,90,948
0.31,0.3741,0.9316,0.44,0.912,0.8617,0.6529,0.4044,0.3857,0.3058,55,70,92,954
0.32,0.3537,0.9346,0.437,0.9097,0.8617,0.6442,0.391,0.3678,0.2883,52,67,95,957
0.33,0.3401,0.9375,0.4386,0.9082,0.8625,0.6388,0.3831,0.3561,0.2776,50,64,97,960
0.34,0.3129,0.9375,0.4182,0.9048,0.8591,0.6252,0.358,0.3295,0.2504,46,64,101,960
0.35,0.2993,0.9404,0.419,0.9034,0.8599,0.6199,0.3492,0.3175,0.2397,44,61,103,963
0.36,0.2789,0.9453,0.4227,0.9013,0.8617,0.6121,0.3361,0.2993,0.2242,41,56,106,968
0.37,0.2721,0.9502,0.4396,0.9009,0.8651,0.6112,0.3361,0.2946,0.2223,40,51,107,973
0.38,0.2653,0.9531,0.4483,0.9004,0.8668,0.6092,0.3333,0.2889,0.2184,39,48,108,976
0.39,0.2313,0.9609,0.4595,0.897,0.8693,0.5961,0.3077,0.2568,0.1922,34,40,113,984
0.4,0.2109,0.9658,0.4697,0.895,0.8711,0.5884,0.2911,0.237,0.1767,31,35,116,989
0.41,0.1973,0.9688,0.4754,0.8937,0.8719,0.583,0.2788,0.2234,0.166,29,32,118,992
0.42,0.1769,0.9707,0.4643,0.8915,0.8711,0.5738,0.2562,0.2019,0.1476,26,30,121,994
0.43,0.1633,0.9736,0.4706,0.8902,0.8719,0.5684,0.2424,0.1878,0.1369,24,27,123,997
0.44,0.1429,0.9766,0.4667,0.8881,0.8719,0.5597,0.2188,0.1659,0.1194,21,24,126,1000
0.45,0.1429,0.9814,0.525,0.8886,0.8762,0.5622,0.2246,0.1672,0.1243,21,19,126,1005
0.46,0.1224,0.9814,0.4865,0.8862,0.8736,0.5519,0.1957,0.144,0.1039,18,19,129,1005
0.47,0.1156,0.9834,0.5,0.8857,0.8745,0.5495,0.1878,0.1367,0.099,17,17,130,1007
0.48,0.102,0.9863,0.5172,0.8844,0.8753,0.5442,0.1705,0.1216,0.0884,15,14,132,1010
0.49,0.0816,0.9873,0.48,0.8822,0.8736,0.5345,0.1395,0.0979,0.0689,12,13,135,1011
0.5,0.0612,0.9873,0.4091,0.8799,0.8711,0.5243,0.1065,0.0738,0.0485,9,13,138,1011
0.51,0.0612,0.9912,0.5,0.8803,0.8745,0.5262,0.1091,0.0743,0.0524,9,9,138,1015
0.52,0.0476,0.9922,0.4667,0.8789,0.8736,0.5199,0.0864,0.058,0.0398,7,8,140,1016
0.53,0.0476,0.9932,0.5,0.879,0.8745,0.5204,0.087,0.0581,0.0408,7,7,140,1017
0.54,0.034,0.9932,0.4167,0.8775,0.8728,0.5136,0.0629,0.0417,0.0272,5,7,142,1017
0.55,0.034,0.9941,0.4545,0.8776,0.8736,0.5141,0.0633,0.0417,0.0282,5,6,142,1018
0.56,0.034,0.9941,0.4545,0.8776,0.8736,0.5141,0.0633,0.0417,0.0282,5,6,142,1018
0.57,0.034,0.9951,0.5,0.8777,0.8745,0.5146,0.0637,0.0418,0.0291,5,5,142,1019
0.58,0.034,0.9951,0.5,0.8777,0.8745,0.5146,0.0637,0.0418,0.0291,5,5,142,1019
0.59,0.034,0.9951,0.5,0.8777,0.8745,0.5146,0.0637,0.0418,0.0291,5,5,142,1019
0.6,0.034,0.9951,0.5,0.8777,0.8745,0.5146,0.0637,0.0418,0.0291,5,5,142,1019
0.61,0.034,0.9951,0.5,0.8777,0.8745,0.5146,0.0637,0.0418,0.0291,5,5,142,1019
0.62,0.0272,0.9961,0.5,0.877,0.8745,0.5117,0.0516,0.0336,0.0233,4,4,143,1020
0.63,0.0204,0.9961,0.4286,0.8763,0.8736,0.5083,0.039,0.0252,0.0165,3,4,144,1020
0.64,0.0136,0.9961,0.3333,0.8755,0.8728,0.5048,0.0261,0.0168,0.0097,2,4,145,1020
0.65,0.0068,0.9961,0.2,0.8748,0.8719,0.5014,0.0132,0.0084,0.0029,1,4,146,1020
0.66,0.0068,0.9971,0.25,0.8749,0.8728,0.5019,0.0132,0.0084,0.0039,1,3,146,1021
0.67,0.0068,0.998,0.3333,0.875,0.8736,0.5024,0.0133,0.0085,0.0048,1,2,146,1022
0.68,0.0068,0.998,0.3333,0.875,0.8736,0.5024,0.0133,0.0085,0.0048,1,2,146,1022
0.69,0.0068,0.998,0.3333,0.875,0.8736,0.5024,0.0133,0.0085,0.0048,1,2,146,1022
0.7,0.0068,0.998,0.3333,0.875,0.8736,0.5024,0.0133,0.0085,0.0048,1,2,146,1022
0.71,0.0068,0.998,0.3333,0.875,0.8736,0.5024,0.0133,0.0085,0.0048,1,2,146,1022
0.72,0.0068,0.998,0.3333,0.875,0.8736,0.5024,0.0133,0.0085,0.0048,1,2,146,1022
0.73,0.0068,0.999,0.5,0.8751,0.8745,0.5029,0.0134,0.0085,0.0058,1,1,146,1023
0.74,0.0068,0.999,0.5,0.8751,0.8745,0.5029,0.0134,0.0085,0.0058,1,1,146,1023
0.75,0.0068,0.999,0.5,0.8751,0.8745,0.5029,0.0134,0.0085,0.0058,1,1,146,1023
0.76,0.0068,0.999,0.5,0.8751,0.8745,0.5029,0.0134,0.0085,0.0058,1,1,146,1023
0.77,0.0068,0.999,0.5,0.8751,0.8745,0.5029,0.0134,0.0085,0.0058,1,1,146,1023
0.78,0.0068,1.0,1.0,0.8752,0.8753,0.5034,0.0135,0.0085,0.0068,1,0,146,1024
0.79,0.0068,1.0,1.0,0.8752,0.8753,0.5034,0.0135,0.0085,0.0068,1,0,146,1024
0.8,0.0068,1.0,1.0,0.8752,0.8753,0.5034,0.0135,0.0085,0.0068,1,0,146,1024
0.81,0.0068,1.0,1.0,0.8752,0.8753,0.5034,0.0135,0.0085,0.0068,1,0,146,1024
0.82,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.83,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.84,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.85,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.86,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.87,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.88,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.89,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.9,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.91,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.92,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.93,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.94,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
0.95,0.0,1.0,0.0,0.8745,0.8745,0.5,0.0,0.0,0.0,0,0,147,1024
