threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.05,0.9252,0.4766,0.2024,0.978,0.5329,0.7009,0.3321,0.5397,0.4017,136,536,11,488
0.06,0.9116,0.5176,0.2134,0.9761,0.567,0.7146,0.3458,0.551,0.4291,134,494,13,530
0.07,0.898,0.5518,0.2234,0.9741,0.5952,0.7249,0.3577,0.5598,0.4497,132,459,15,565
0.08,0.8844,0.5889,0.2359,0.9726,0.626,0.7366,0.3725,0.5707,0.4732,130,421,17,603
0.09,0.8571,0.6211,0.2451,0.968,0.6507,0.7391,0.3812,0.5717,0.4782,126,388,21,636
0.1,0.8503,0.6494,0.2583,0.968,0.6746,0.7499,0.3962,0.583,0.4998,125,359,22,665
0.11,0.8367,0.6836,0.2752,0.9669,0.7028,0.7602,0.4141,0.5942,0.5203,123,324,24,700
0.12,0.8231,0.7051,0.2861,0.9652,0.7199,0.7641,0.4246,0.5984,0.5282,121,302,26,722
0.13,0.8095,0.7246,0.2968,0.9636,0.7353,0.7671,0.4343,0.6016,0.5341,119,282,28,742
0.14,0.7959,0.7393,0.3047,0.9619,0.7464,0.7676,0.4407,0.6019,0.5352,117,267,30,757
0.15,0.7755,0.7617,0.3184,0.9594,0.7635,0.7686,0.4515,0.6025,0.5372,114,244,33,780
0.16,0.7415,0.7725,0.3187,0.9542,0.7686,0.757,0.4458,0.586,0.514,109,233,38,791
0.17,0.7075,0.7881,0.324,0.9494,0.778,0.7478,0.4444,0.5721,0.4956,104,217,43,807
0.18,0.6939,0.8047,0.3377,0.9482,0.7908,0.7493,0.4543,0.573,0.4986,102,200,45,824
0.19,0.6871,0.8174,0.3507,0.9479,0.801,0.7522,0.4644,0.5765,0.5045,101,187,46,837
0.2,0.6735,0.8301,0.3626,0.9465,0.8104,0.7518,0.4714,0.5749,0.5035,99,174,48,850
0.21,0.6667,0.8408,0.3755,0.9462,0.819,0.7537,0.4804,0.5771,0.5075,98,163,49,861
0.22,0.6395,0.8506,0.3806,0.9426,0.8241,0.745,0.4772,0.5629,0.49,94,153,53,871
0.23,0.6122,0.8545,0.3766,0.9388,0.8241,0.7334,0.4663,0.5441,0.4667,90,149,57,875
0.24,0.585,0.8643,0.3822,0.9355,0.8292,0.7246,0.4624,0.5289,0.4493,86,139,61,885
0.25,0.5714,0.8711,0.3889,0.934,0.8335,0.7213,0.4628,0.5224,0.4425,84,132,63,892
