threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.05,0.9856,0.3281,0.2406,0.9906,0.4449,0.6569,0.3868,0.6087,0.3137,205,647,3,316
0.06,0.9856,0.3718,0.2531,0.9917,0.4808,0.6787,0.4028,0.6242,0.3573,205,605,3,358
0.07,0.9808,0.4133,0.2653,0.99,0.5141,0.697,0.4176,0.6371,0.3941,204,565,4,398
0.08,0.976,0.4413,0.274,0.9884,0.5363,0.7086,0.4278,0.6453,0.4173,203,538,5,425
0.09,0.9615,0.4704,0.2817,0.9826,0.5576,0.716,0.4357,0.6485,0.4319,200,510,8,453
0.1,0.9471,0.5078,0.2936,0.978,0.5858,0.7275,0.4482,0.6554,0.4549,197,474,11,489
0.11,0.9279,0.541,0.3039,0.972,0.6097,0.7345,0.4579,0.6578,0.4689,193,442,15,521
0.12,0.899,0.5805,0.3164,0.9638,0.6371,0.7398,0.4681,0.6571,0.4795,187,404,21,559
0.13,0.8798,0.6054,0.325,0.9589,0.6541,0.7426,0.4747,0.6559,0.4852,183,380,25,583
0.14,0.8365,0.6345,0.3308,0.9473,0.6704,0.7355,0.4741,0.6406,0.471,174,352,34,611
0.15,0.8173,0.6615,0.3427,0.9437,0.6892,0.7394,0.483,0.6401,0.4788,170,326,38,637
0.16,0.7837,0.6781,0.3446,0.9355,0.6968,0.7309,0.4787,0.6245,0.4617,163,310,45,653
0.17,0.75,0.6978,0.349,0.9282,0.7071,0.7239,0.4763,0.6099,0.4478,156,291,52,672
0.18,0.7356,0.7186,0.3608,0.9264,0.7216,0.7271,0.4842,0.6091,0.4542,153,271,55,692
0.19,0.7212,0.7269,0.3632,0.9235,0.7259,0.724,0.4831,0.6024,0.448,150,263,58,700
0.2,0.6971,0.7362,0.3634,0.9184,0.7293,0.7167,0.4778,0.589,0.4334,145,254,63,709
0.21,0.6827,0.7466,0.3679,0.9159,0.7353,0.7147,0.4781,0.5829,0.4293,142,244,66,719
0.22,0.6538,0.757,0.3676,0.9101,0.7387,0.7054,0.4706,0.5657,0.4109,136,234,72,729
0.23,0.6154,0.7705,0.3668,0.9027,0.743,0.6929,0.4596,0.5419,0.3859,128,221,80,742
0.24,0.601,0.784,0.3754,0.901,0.7515,0.6925,0.4621,0.5365,0.385,125,208,83,755
0.25,0.5673,0.7934,0.3722,0.8946,0.7532,0.6803,0.4495,0.5135,0.3607,118,199,90,764
0.26,0.5481,0.8037,0.3762,0.8917,0.7583,0.6759,0.4462,0.5022,0.3518,114,189,94,774
0.27,0.5385,0.8183,0.3902,0.8914,0.7686,0.6784,0.4525,0.5004,0.3567,112,175,96,788
0.28,0.5144,0.8339,0.4007,0.8883,0.7771,0.6741,0.4505,0.4868,0.3483,107,160,101,803
0.29,0.4856,0.8453,0.404,0.8838,0.7814,0.6654,0.441,0.4667,0.3309,101,149,107,814
0.3,0.4663,0.8525,0.4059,0.8809,0.7839,0.6594,0.434,0.4528,0.3189,97,142,111,821
0.31,0.4519,0.8577,0.4069,0.8787,0.7857,0.6548,0.4282,0.4421,0.3097,94,137,114,826
0.32,0.4375,0.865,0.4118,0.8768,0.7891,0.6513,0.4242,0.4321,0.3025,91,130,117,833
0.33,0.4038,0.8692,0.4,0.871,0.7865,0.6365,0.4019,0.4031,0.273,84,126,124,837
0.34,0.399,0.8775,0.4129,0.8711,0.7925,0.6383,0.4059,0.4017,0.2765,83,118,125,845
0.35,0.3894,0.8879,0.4286,0.8707,0.7993,0.6386,0.4081,0.3967,0.2773,81,108,127,855
0.36,0.3702,0.893,0.4278,0.8678,0.8002,0.6316,0.3969,0.3804,0.2632,77,103,131,860
0.37,0.3558,0.9003,0.4353,0.8661,0.8036,0.628,0.3915,0.3693,0.2561,74,96,134,867
0.38,0.3413,0.9076,0.4437,0.8645,0.807,0.6245,0.3859,0.3579,0.2489,71,89,137,874
0.39,0.3173,0.9169,0.4521,0.8615,0.8104,0.6171,0.3729,0.3374,0.2342,66,80,142,883
0.4,0.3029,0.919,0.4468,0.8592,0.8096,0.6109,0.361,0.3237,0.2219,63,78,145,885
0.41,0.2885,0.9242,0.4511,0.8574,0.8113,0.6063,0.3519,0.3109,0.2127,60,73,148,890
0.42,0.2788,0.9283,0.4567,0.8563,0.813,0.6036,0.3463,0.3024,0.2072,58,69,150,894
0.43,0.274,0.9325,0.4672,0.8561,0.8155,0.6033,0.3455,0.2987,0.2065,57,65,151,898
