threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.05,0.9808,0.379,0.2544,0.9892,0.4859,0.6799,0.404,0.6242,0.3598,204,598,4,365
0.06,0.9808,0.4393,0.2742,0.9906,0.5354,0.71,0.4286,0.6472,0.42,204,540,4,423
0.07,0.976,0.4798,0.2884,0.9893,0.5679,0.7279,0.4452,0.6608,0.4557,203,501,5,462
0.08,0.9663,0.514,0.3004,0.9861,0.5944,0.7402,0.4584,0.6696,0.4804,201,468,7,495
0.09,0.9519,0.5452,0.3113,0.9813,0.6174,0.7485,0.4692,0.6744,0.4971,198,438,10,525
0.1,0.9231,0.5722,0.3179,0.9718,0.6345,0.7476,0.4729,0.6685,0.4952,192,412,16,551
0.11,0.8942,0.5992,0.3252,0.9633,0.6516,0.7467,0.4769,0.6624,0.4934,186,386,22,577
0.12,0.8798,0.6231,0.3352,0.96,0.6687,0.7514,0.4854,0.664,0.5029,183,363,25,600
0.13,0.8558,0.6417,0.3403,0.9537,0.6798,0.7488,0.487,0.6568,0.4975,178,345,30,618
0.14,0.8221,0.6656,0.3469,0.9454,0.6934,0.7439,0.4879,0.6453,0.4877,171,322,37,641
0.15,0.8173,0.6833,0.3579,0.9454,0.7071,0.7503,0.4978,0.6503,0.5006,170,305,38,658
0.16,0.8077,0.703,0.37,0.9442,0.7216,0.7554,0.5076,0.6532,0.5107,168,286,40,677
0.17,0.7933,0.7207,0.3802,0.9417,0.7336,0.757,0.514,0.6517,0.5139,165,269,43,694
0.18,0.7692,0.7404,0.3902,0.9369,0.7455,0.7548,0.5178,0.6441,0.5096,160,250,48,713
0.19,0.7356,0.7529,0.3913,0.9295,0.7498,0.7442,0.5109,0.6255,0.4884,153,238,55,725
0.2,0.7212,0.7653,0.3989,0.927,0.7575,0.7432,0.5137,0.6209,0.4865,150,226,58,737
0.21,0.7067,0.7778,0.4072,0.9247,0.7652,0.7423,0.5167,0.6161,0.4845,147,214,61,749
0.22,0.6635,0.7902,0.4059,0.9158,0.7677,0.7269,0.5036,0.5887,0.4537,138,202,70,761
0.23,0.649,0.7985,0.4103,0.9133,0.772,0.7238,0.5028,0.5814,0.4476,135,194,73,769
0.24,0.6298,0.8089,0.4159,0.91,0.7771,0.7194,0.501,0.5711,0.4387,131,184,77,779
0.25,0.6202,0.8204,0.4272,0.9091,0.7848,0.7203,0.5059,0.5688,0.4405,129,173,79,790
0.26,0.5962,0.8266,0.4261,0.9045,0.7857,0.7114,0.497,0.5521,0.4227,124,167,84,796
0.27,0.5817,0.838,0.4368,0.9027,0.7925,0.7099,0.499,0.5455,0.4197,121,156,87,807
0.28,0.5577,0.8453,0.4377,0.8985,0.7942,0.7015,0.4905,0.5287,0.403,116,149,92,814
0.29,0.5433,0.8536,0.4449,0.8964,0.7985,0.6984,0.4892,0.5203,0.3969,113,141,95,822
0.3,0.5096,0.8598,0.4398,0.8903,0.7976,0.6847,0.4722,0.4939,0.3694,106,135,102,828
0.31,0.4856,0.8692,0.4449,0.8867,0.801,0.6774,0.4644,0.4769,0.3547,101,126,107,837
0.32,0.476,0.8806,0.4626,0.8861,0.8087,0.6783,0.4692,0.4732,0.3565,99,115,109,848
0.33,0.4567,0.8899,0.4726,0.8835,0.813,0.6733,0.4645,0.4598,0.3467,95,106,113,857
0.34,0.4519,0.8941,0.4796,0.8831,0.8155,0.673,0.4653,0.4572,0.346,94,102,114,861
0.35,0.4423,0.8993,0.4868,0.8819,0.8181,0.6708,0.4635,0.4505,0.3416,92,97,116,866
0.36,0.4327,0.9076,0.5028,0.881,0.8232,0.6701,0.4651,0.4451,0.3403,90,89,118,874
0.37,0.4279,0.9107,0.5086,0.8805,0.8249,0.6693,0.4648,0.4419,0.3386,89,86,119,877
0.38,0.4135,0.9128,0.5059,0.8781,0.8241,0.6631,0.455,0.4291,0.3262,86,84,122,879
0.39,0.4038,0.918,0.5153,0.877,0.8266,0.6609,0.4528,0.4221,0.3218,84,79,124,884
0.4,0.399,0.9232,0.5287,0.8767,0.8301,0.6611,0.4548,0.4196,0.3222,83,74,125,889
0.41,0.3942,0.9273,0.5395,0.8763,0.8326,0.6608,0.4556,0.4167,0.3215,82,70,126,893
0.42,0.3846,0.9304,0.5442,0.875,0.8335,0.6575,0.4507,0.4086,0.315,80,67,128,896
0.43,0.3702,0.9356,0.554,0.8731,0.8352,0.6529,0.4438,0.3965,0.3058,77,62,131,901
0.44,0.3558,0.9439,0.5781,0.8715,0.8395,0.6498,0.4405,0.3854,0.2997,74,54,134,909
0.45,0.3558,0.947,0.592,0.8719,0.842,0.6514,0.4444,0.3866,0.3028,74,51,134,912
0.46,0.351,0.9512,0.6083,0.8716,0.8446,0.6511,0.4451,0.3834,0.3022,73,47,135,916
