threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.05,0.998,0.0209,0.432,0.9333,0.4385,0.5094,0.603,0.7908,0.0189,499,656,1,14
0.06,0.998,0.0373,0.4362,0.9615,0.4479,0.5177,0.6071,0.7936,0.0353,499,645,1,25
0.07,0.998,0.0776,0.4467,0.9811,0.4709,0.5378,0.6172,0.8004,0.0756,499,618,1,52
0.08,0.992,0.1119,0.4546,0.9494,0.488,0.552,0.6235,0.8023,0.1039,496,595,4,75
0.09,0.99,0.1418,0.4626,0.95,0.5043,0.5659,0.6306,0.8062,0.1318,495,575,5,95
0.1,0.986,0.1672,0.4691,0.9412,0.5171,0.5766,0.6357,0.8079,0.1532,493,558,7,112
0.11,0.978,0.209,0.4799,0.9272,0.5376,0.5935,0.6438,0.8099,0.187,489,530,11,140
0.12,0.974,0.2343,0.487,0.9235,0.5504,0.6042,0.6493,0.8117,0.2083,487,513,13,157
0.13,0.97,0.2537,0.4924,0.9189,0.5598,0.6119,0.6532,0.8124,0.2237,485,500,15,170
0.14,0.968,0.291,0.5047,0.9242,0.5803,0.6295,0.6635,0.8178,0.259,484,475,16,195
0.15,0.966,0.3134,0.5122,0.9251,0.5923,0.6397,0.6694,0.8206,0.2794,483,460,17,210
0.16,0.96,0.3313,0.5172,0.9174,0.6,0.6457,0.6723,0.8197,0.2913,480,448,20,222
0.17,0.958,0.3552,0.5258,0.9189,0.6128,0.6566,0.679,0.8227,0.3132,479,432,21,238
0.18,0.952,0.3746,0.5318,0.9127,0.6214,0.6633,0.6824,0.8221,0.3266,476,419,24,251
0.19,0.948,0.3925,0.538,0.91,0.6299,0.6703,0.6865,0.8226,0.3405,474,407,26,263
0.2,0.944,0.4149,0.5463,0.9085,0.641,0.6795,0.6921,0.824,0.3589,472,392,28,278
0.21,0.938,0.4284,0.5505,0.9025,0.6462,0.6832,0.6938,0.8222,0.3664,469,383,31,287
0.22,0.936,0.4507,0.5598,0.9042,0.6581,0.6934,0.7006,0.8251,0.3867,468,368,32,302
0.23,0.934,0.4672,0.5667,0.9046,0.6667,0.7006,0.7054,0.8268,0.4012,467,357,33,313
0.24,0.93,0.4776,0.5706,0.9014,0.6709,0.7038,0.7072,0.8259,0.4076,465,350,35,320
0.25,0.914,0.4881,0.5713,0.8838,0.6701,0.701,0.7031,0.8161,0.4021,457,343,43,327
0.26,0.908,0.4955,0.5732,0.8783,0.6718,0.7018,0.7028,0.813,0.4035,454,338,46,332
0.27,0.902,0.509,0.5782,0.8744,0.6769,0.7055,0.7047,0.8112,0.411,451,329,49,341
0.28,0.896,0.5269,0.5856,0.8716,0.6846,0.7114,0.7083,0.8101,0.4229,448,317,52,353
0.29,0.888,0.5373,0.5889,0.8654,0.6872,0.7127,0.7081,0.8061,0.4253,444,310,56,360
0.3,0.884,0.5478,0.5933,0.8635,0.6915,0.7159,0.71,0.8051,0.4318,442,303,58,367
0.31,0.878,0.5582,0.5973,0.8598,0.6949,0.7181,0.7109,0.8026,0.4362,439,296,61,374
0.32,0.866,0.5746,0.6031,0.8518,0.6991,0.7203,0.711,0.7965,0.4406,433,285,67,385
0.33,0.864,0.5866,0.6093,0.8525,0.7051,0.7253,0.7146,0.7973,0.4506,432,277,68,393
0.34,0.85,0.5925,0.6089,0.8411,0.7026,0.7213,0.7095,0.7876,0.4425,425,273,75,397
0.35,0.838,0.6015,0.6108,0.8326,0.7026,0.7197,0.7066,0.78,0.4395,419,267,81,403
0.36,0.834,0.6119,0.616,0.8316,0.7068,0.723,0.7086,0.7789,0.4459,417,260,83,410
0.37,0.818,0.6209,0.6169,0.8205,0.7051,0.7194,0.7034,0.7679,0.4389,409,254,91,416
0.38,0.808,0.6328,0.6215,0.8154,0.7077,0.7204,0.7026,0.7623,0.4408,404,246,96,424
0.39,0.802,0.6493,0.6305,0.8146,0.7145,0.7256,0.706,0.7606,0.4513,401,235,99,435
0.4,0.792,0.6642,0.6377,0.8106,0.7188,0.7281,0.7065,0.7554,0.4562,396,225,104,445
0.41,0.79,0.6716,0.6423,0.8108,0.7222,0.7308,0.7085,0.7553,0.4616,395,220,105,450
0.42,0.776,0.6791,0.6434,0.8025,0.7205,0.7276,0.7035,0.7453,0.4551,388,215,112,455
0.43,0.766,0.691,0.6492,0.7983,0.7231,0.7285,0.7028,0.7394,0.457,383,207,117,463
0.44,0.756,0.7,0.6528,0.7936,0.7239,0.728,0.7006,0.7328,0.456,378,201,122,469
0.45,0.742,0.706,0.6532,0.7857,0.7214,0.724,0.6948,0.7224,0.448,371,197,129,473
0.46,0.722,0.7239,0.6612,0.7772,0.7231,0.7229,0.6902,0.709,0.4459,361,185,139,485
0.47,0.71,0.7284,0.6611,0.7709,0.7205,0.7192,0.6847,0.6996,0.4384,355,182,145,488
0.48,0.704,0.7373,0.6667,0.7695,0.7231,0.7207,0.6848,0.6962,0.4413,352,176,148,494
