threshold,sensitivity,specificity,precision,npv,accuracy,balanced_accuracy,f1,f2,youden_j,tp,fp,fn,tn
0.05,0.996,0.0657,0.4431,0.9565,0.4632,0.5308,0.6133,0.7971,0.0617,498,626,2,44
0.06,0.986,0.1597,0.4669,0.9386,0.5128,0.5729,0.6337,0.8066,0.1457,493,563,7,107
0.07,0.98,0.1955,0.4762,0.9291,0.5308,0.5878,0.6409,0.8088,0.1755,490,539,10,131
0.08,0.98,0.2299,0.4871,0.939,0.5504,0.6049,0.6507,0.815,0.2099,490,516,10,154
0.09,0.978,0.2403,0.49,0.936,0.5556,0.6091,0.6529,0.8155,0.2183,489,509,11,161
0.1,0.976,0.2582,0.4954,0.9351,0.565,0.6171,0.6572,0.8174,0.2342,488,497,12,173
0.11,0.97,0.2761,0.5,0.925,0.5726,0.6231,0.6599,0.8165,0.2461,485,485,15,185
0.12,0.966,0.309,0.5106,0.9241,0.5897,0.6375,0.668,0.8198,0.275,483,463,17,207
0.13,0.964,0.3239,0.5155,0.9234,0.5974,0.6439,0.6718,0.8211,0.2879,482,453,18,217
0.14,0.958,0.3403,0.5201,0.9157,0.6043,0.6491,0.6742,0.8199,0.2983,479,442,21,228
0.15,0.954,0.3522,0.5236,0.9112,0.6094,0.6531,0.6761,0.8193,0.3062,477,434,23,236
0.16,0.952,0.3642,0.5277,0.9104,0.6154,0.6581,0.679,0.8201,0.3162,476,426,24,244
0.17,0.95,0.3836,0.5349,0.9113,0.6256,0.6668,0.6844,0.8224,0.3336,475,413,25,257
0.18,0.942,0.3985,0.5389,0.902,0.6308,0.6703,0.6856,0.8194,0.3405,471,403,29,267
0.19,0.932,0.4104,0.5412,0.89,0.6333,0.6712,0.6848,0.8144,0.3424,466,395,34,275
0.2,0.928,0.4284,0.5478,0.8885,0.6419,0.6782,0.6889,0.8149,0.3564,464,383,36,287
0.21,0.922,0.4463,0.5541,0.8846,0.6496,0.6841,0.6922,0.8139,0.3683,461,371,39,299
0.22,0.922,0.4657,0.5629,0.8889,0.6607,0.6938,0.699,0.8177,0.3877,461,358,39,312
0.23,0.92,0.4761,0.5672,0.8886,0.6658,0.6981,0.7018,0.8182,0.3961,460,351,40,319
0.24,0.916,0.4851,0.5704,0.8856,0.6692,0.7005,0.703,0.817,0.4011,458,345,42,325
0.25,0.914,0.4896,0.572,0.8841,0.6709,0.7018,0.7036,0.8164,0.4036,457,342,43,328
0.26,0.908,0.503,0.5769,0.8799,0.6761,0.7055,0.7055,0.8145,0.411,454,333,46,337
0.27,0.906,0.5119,0.5808,0.8795,0.6803,0.709,0.7078,0.8147,0.4179,453,327,47,343
0.28,0.894,0.5254,0.5843,0.8691,0.6829,0.7097,0.7067,0.8083,0.4194,447,318,53,352
0.29,0.878,0.5418,0.5885,0.8561,0.6855,0.7099,0.7047,0.7993,0.4198,439,307,61,363
0.3,0.866,0.5507,0.5899,0.8463,0.6855,0.7084,0.7018,0.7919,0.4167,433,301,67,369
0.31,0.864,0.5627,0.5959,0.8472,0.6915,0.7133,0.7053,0.7927,0.4267,432,293,68,377
0.32,0.862,0.5776,0.6036,0.8487,0.6991,0.7198,0.71,0.794,0.4396,431,283,69,387
0.33,0.848,0.5896,0.6066,0.8386,0.7,0.7188,0.7073,0.7855,0.4376,424,275,76,395
0.34,0.844,0.6,0.6116,0.8375,0.7043,0.722,0.7092,0.7844,0.444,422,268,78,402
0.35,0.838,0.6104,0.6162,0.8347,0.7077,0.7242,0.7102,0.7817,0.4484,419,261,81,409
0.36,0.834,0.6269,0.6252,0.835,0.7154,0.7304,0.7147,0.7818,0.4609,417,250,83,420
0.37,0.828,0.6403,0.6321,0.833,0.7205,0.7341,0.7169,0.7797,0.4683,414,241,86,429
0.38,0.822,0.6448,0.6333,0.8292,0.7205,0.7334,0.7154,0.7758,0.4668,411,238,89,432
