feature,importance
age,0.03637916310845426
hemoglobin,0.0068317677198974636
education_level,0.004953031596925661
bmi,0.004440649017933373
gender,0.0035866780529461685
total_cholesterol,0.0034158838599487318
mean_dbp,0.002903501280956422
alcohol_frequency,0.002561912894961549
rdw,0.0017079419299743438
serum_creatinine,0.0017079419299743438
platelet_count,0.0013663535439794928
smoking_status,0.0013663535439794483
wbc_count,0.001195559350982034
blood_urea_nitrogen,0.001195559350982034
poverty_income_ratio,0.0010247651579845974
