feature,importance
age,1.2031573038294072
total_cholesterol,0.3632871207968212
smoking_status,0.253699879273357
education_level,0.1529607495107437
physical_activity_level,0.14980044520899927
wbc_count,0.14359572707242269
poverty_income_ratio,0.1380803778594437
gender,0.13690042821324133
waist_circumference,0.13560607590014948
hba1c,0.11742961639292347
serum_creatinine,0.1149626741366688
rdw,0.10738059930081599
sedentary_minutes,0.09983133791252156
hdl_cholesterol,0.0705161396489848
serum_albumin,0.06935688031215208
