feature,importance
age,0.20563353533340414
poverty_income_ratio,0.06328897336970177
total_cholesterol,0.057151424149422994
sedentary_minutes,0.053677622654295994
hba1c,0.03815524846150392
waist_circumference,0.035730169889146984
mean_sbp,0.033376329298758264
serum_creatinine,0.032875077846453986
education_level,0.03141472228710063
mean_pulse,0.030170073160638248
rdw,0.030112888967099464
physical_activity_level,0.029754575064748455
mean_dbp,0.029685247584561893
smoking_status,0.029266115515404322
bmi,0.027179037581486005
