feature,importance
age,0.1267926166518597
poverty_income_ratio,0.06991423924705899
sedentary_minutes,0.06807518240956313
total_cholesterol,0.05036728089074484
mean_dbp,0.038020723640740745
mean_sbp,0.03675852217364356
mean_pulse,0.03635336011617318
serum_creatinine,0.036016928908701604
waist_circumference,0.035696034938940524
education_level,0.034915333523401454
bmi,0.0336658145004853
rdw,0.032392383219803714
hba1c,0.031884811708115475
platelet_count,0.0317863857063991
wbc_count,0.030312489728093087
