feature,importance
age,0.04064901793339024
mean_dbp,0.025106746370623333
total_cholesterol,0.0216908625106746
mean_sbp,0.012638770281810352
mean_pulse,0.008198121263876956
serum_creatinine,0.007002561912894922
waist_circumference,0.007002561912894922
platelet_count,0.0052946199829205344
serum_uric_acid,0.005123825789923098
alcohol_frequency,0.004611443210930788
physical_activity_level,0.0044406490179333515
hemoglobin,0.0044406490179333515
bmi,0.004099060631938478
hdl_cholesterol,0.004099060631938456
poverty_income_ratio,0.004099060631938456
