feature,importance
age,0.020495303159692568
total_cholesterol,0.009222886421861665
mean_pulse,0.009222886421861642
mean_sbp,0.00683176771989753
waist_circumference,0.005123825789923142
blood_urea_nitrogen,0.00512382578992312
mean_dbp,0.0049530315969256835
serum_uric_acid,0.004440649017933373
bmi,0.004099060631938478
triglycerides,0.003245089666951295
platelet_count,0.002903501280956422
hemoglobin,0.0015371477369769293
wbc_count,0.0015371477369769293
sedentary_minutes,0.0015371477369769293
ldl_cholesterol,0.0013663535439794928
