feature,importance
age,0.7845569559422292
alt_enzyme,0.46961250296415447
mean_pulse,0.43604545487769936
mean_dbp,0.41193926780611717
ast_enzyme,0.36838911482926395
triglycerides,0.35389679661080137
mean_sbp,0.3280833851950519
total_cholesterol,0.31869575564505187
waist_circumference,0.2767290195490717
bmi,0.2599105214948236
hdl_cholesterol,0.23923649131954808
education_level,0.21282968391864807
blood_urea_nitrogen,0.20481511926409707
physical_activity_level,0.17093311040036155
serum_uric_acid,0.15899363080886686
