feature,importance
age,0.7426827365356828
alt_enzyme,0.47111899064264323
ast_enzyme,0.40127043122651174
mean_pulse,0.3892229100347111
mean_dbp,0.38270519372895984
total_cholesterol,0.30607034638089725
triglycerides,0.30489361613744626
mean_sbp,0.2917135192414146
hdl_cholesterol,0.26282099808144027
waist_circumference,0.25416604092861456
bmi,0.24237315012957222
blood_urea_nitrogen,0.19715485462616167
education_level,0.18530901294022584
physical_activity_level,0.1568117446084865
serum_uric_acid,0.15630460763386575
