feature,importance
age,0.15277163239978098
waist_circumference,0.06527560162785606
poverty_income_ratio,0.06416034254328361
bmi,0.05850287218893795
total_cholesterol,0.051672956717102765
sedentary_minutes,0.05166473539105257
mean_pulse,0.03910574008422892
hdl_cholesterol,0.03811593190916465
rdw,0.03621451057342023
education_level,0.03578548429586697
mean_dbp,0.03478765062653447
mean_sbp,0.032639242493622336
wbc_count,0.02998921962663229
hemoglobin,0.028571993449834448
ldl_cholesterol,0.02848168962274021
