feature,importance
age,0.10860445640837361
poverty_income_ratio,0.06675950952303893
waist_circumference,0.05927839247532652
sedentary_minutes,0.055641294017260645
bmi,0.05470727596198217
total_cholesterol,0.0521873499638697
hdl_cholesterol,0.04029657720017588
mean_pulse,0.03981354166407739
mean_dbp,0.0365795314903389
ldl_cholesterol,0.035353115733008256
rdw,0.03509202857843574
mean_sbp,0.03418142713437904
hemoglobin,0.03368644657641728
wbc_count,0.03350670718699452
platelet_count,0.03301110544143209
