feature,importance
age,0.13829059829059828
bmi,0.016581196581196566
hba1c,0.007350427350427324
fasting_glucose,0.005470085470085451
alt_enzyme,0.005470085470085451
education_level,0.0049572649572649395
waist_circumference,0.004615384615384599
rdw,0.004615384615384599
serum_uric_acid,0.003589743589743577
mean_pulse,0.0022222222222222144
triglycerides,0.0018803418803418736
ast_enzyme,0.0011965811965811922
blood_urea_nitrogen,0.0011965811965811922
hemoglobin,0.0
ldl_cholesterol,-0.00017094017094017034
