feature,importance
age,1.0549540629165204
bmi,0.301802894891643
hba1c,0.19702059063658867
serum_uric_acid,0.16517454953892768
serum_albumin,0.12952437647031034
serum_creatinine,0.12120663902229889
ldl_cholesterol,0.10985412651194441
sedentary_minutes,0.10852990887530888
poverty_income_ratio,0.10356334043004559
alt_enzyme,0.09067605546802639
mean_pulse,0.08734312832279155
hdl_cholesterol,0.0866079122023477
education_level,0.08014655388840237
rdw,0.07915745423895193
fasting_glucose,0.06286696967048543
