feature,importance
age,1.044282611363406
bmi,0.29653108769961095
hba1c,0.19692139672058895
serum_uric_acid,0.16299462880053045
serum_albumin,0.13146184186892845
serum_creatinine,0.13100977772081332
ldl_cholesterol,0.11042925239122801
sedentary_minutes,0.10812226029925079
poverty_income_ratio,0.10295483535221553
hdl_cholesterol,0.0902680295796984
alt_enzyme,0.08817665141869495
education_level,0.08160155580757955
mean_pulse,0.0779718561816834
rdw,0.07514628326932396
fasting_glucose,0.06671596578613444
