feature,importance
age,0.20945010698167704
poverty_income_ratio,0.06419389206420054
sedentary_minutes,0.05877901057944587
waist_circumference,0.04943294912367327
hba1c,0.048079252472180756
bmi,0.04471617515252393
mean_pulse,0.036862145701427436
platelet_count,0.03225450859114002
rdw,0.03178182997946194
serum_uric_acid,0.03088269632229151
serum_creatinine,0.030549990504564927
total_cholesterol,0.030238368716697158
education_level,0.030212298591748513
hemoglobin,0.02870289185691193
fasting_glucose,0.027382175320053482
