feature,importance
age,0.2046683153983144
poverty_income_ratio,0.06357579168179088
sedentary_minutes,0.05842086042593422
hba1c,0.05035747717156193
waist_circumference,0.04791137341867663
bmi,0.04473871545398335
mean_pulse,0.0361743325241627
platelet_count,0.033129163817682744
total_cholesterol,0.03145289235239412
serum_uric_acid,0.03134659603203131
serum_creatinine,0.030898900117310342
rdw,0.030417819061131113
education_level,0.03016715860340577
hemoglobin,0.029977782240218256
wbc_count,0.028585024198432306
